====================================================================================================
Initialization complete: designer ready.
----------------------------------------------------------------------------------------------------
Number of model parameters              : 2
Number of candidates                    : 9261
Number of responses                     : 7
Number of measured responses            : 7
Number of time-invariant controls       : 3
====================================================================================================
############################### Computing Optimal Experiment Design ################################
Started on                              : 2022-07-01 09:31:32.655637
Criterion                               : d_opt_criterion
Pseudo-bayesian                         : False
Dynamic                                 : False
Time-invariant Controls                 : True
Time-varying Controls                   : False
Number of Candidates                    : 9261
---------------------------------------[Sensitivity Analysis]---------------------------------------
Use Finite Difference                   : True
Richardson Extrapolation Steps          : 5
----------------------------------------------------------------------------------------------------
[Candidate   927/9261]: time elapsed          983.92 seconds.
[Candidate  1854/9261]: time elapsed         1976.36 seconds.
[Candidate  2781/9261]: time elapsed         2878.58 seconds.
[Candidate  3708/9261]: time elapsed         3730.72 seconds.
[Candidate  4635/9261]: time elapsed         4687.03 seconds.
[Candidate  5562/9261]: time elapsed         5674.06 seconds.
[Candidate  6489/9261]: time elapsed         6729.51 seconds.
Warning: Negative final concentration for the following initial concentrations: (0.11499999999999998, 0.12199999999999998, 0.022294981363041342, 1e-18, 0.04)
Warning: Negative final concentration for the following initial concentrations: (0.11499999999999998, 0.12199999999999998, 0.022294981363041342, 1e-18, 0.04)
Warning: Negative final concentration for the following initial concentrations: (0.11499999999999998, 0.12199999999999998, 0.022294981363041342, 1e-18, 0.04)
Warning: Negative final concentration for the following initial concentrations: (0.11499999999999998, 0.12199999999999998, 0.022294981363041342, 1e-18, 0.04)
Warning: Negative final concentration for the following initial concentrations: (0.11499999999999998, 0.12199999999999998, 0.022294981363041342, 1e-18, 0.04)
Warning: Negative final concentration for the following initial concentrations: (0.11499999999999998, 0.12199999999999998, 0.022294981363041342, 1e-18, 0.04)
[Candidate  7416/9261]: time elapsed         7856.06 seconds.
Warning: Negative final concentration for the following initial concentrations: (0.129, 0.136, 0.022420164488948093, 1e-18, 0.04)
[Candidate  8343/9261]: time elapsed         9058.15 seconds.
Warning: Negative final concentration for the following initial concentrations: (0.143, 0.11499999999999998, 0.020213135934194847, 1e-18, 0.04)
[Candidate  9261/9261]: time elapsed        10185.23 seconds.
----------------------------------------------------------------------------------------------------


Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 18564           
  Cones                  : 2               
  Scalar variables       : 9285            
  Matrix variables       : 2               
  Integer variables      : 0               

Optimizer started.
Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 18564           
  Cones                  : 2               
  Scalar variables       : 9285            
  Matrix variables       : 2               
  Integer variables      : 0               

Optimizer  - threads                : 6               
Optimizer  - solved problem         : the primal      
Optimizer  - Constraints            : 22
Optimizer  - Cones                  : 4
Optimizer  - Scalar variables       : 9267              conic                  : 12              
Optimizer  - Semi-definite variables: 1                 scalarized             : 10              
Factor     - setup time             : 0.00              dense det. time        : 0.00            
Factor     - ML order time          : 0.00              GP order time          : 0.00            
Factor     - nonzeros before factor : 154               after factor           : 154             
Factor     - dense dim.             : 0                 flops                  : 1.01e+05        
ITE PFEAS    DFEAS    GFEAS    PRSTATUS   POBJ              DOBJ              MU       TIME  
0   1.3e+00  1.3e+00  4.3e+00  0.00e+00   1.655676798e+00   -1.610204003e+00  1.0e+00  0.03  
1   3.9e-01  3.9e-01  8.9e-01  5.28e-01   7.977412316e-01   -3.618584572e-01  3.0e-01  0.03  
2   1.4e-01  1.4e-01  2.2e-01  6.12e-01   6.331467766e-01   1.766290894e-01   1.1e-01  0.05  
3   6.1e-02  6.1e-02  9.5e-02  5.20e-01   4.573996164e-01   2.316576797e-01   4.7e-02  0.05  
4   4.0e-02  3.1e-02  2.7e-02  1.55e+00   6.243705441e-01   5.194759425e-01   2.4e-02  0.05  
5   3.7e-02  2.8e-02  2.9e-02  1.19e+00   2.540873546e-01   1.537421640e-01   2.1e-02  0.05  
6   2.9e-02  2.1e-02  1.1e-02  2.14e+00   9.080660828e-01   8.404691190e-01   1.6e-02  0.05  
7   2.3e-02  1.6e-02  1.3e-02  3.93e-01   2.030550239e-01   1.257777908e-01   1.2e-02  0.05  
8   1.4e-02  1.0e-02  2.8e-03  1.92e+00   7.267841323e-01   6.830320901e-01   7.8e-03  0.05  
9   1.2e-02  8.3e-03  2.7e-03  6.45e-01   4.079680793e-01   3.642304399e-01   6.4e-03  0.05  
10  7.3e-03  5.8e-03  1.0e-03  1.67e+00   1.191462916e+00   1.170134167e+00   4.5e-03  0.06  
11  5.4e-03  4.3e-03  1.0e-03  4.52e-01   1.587685498e-01   1.345935975e-01   3.3e-03  0.06  
12  2.7e-03  2.7e-03  3.5e-04  1.74e+00   8.700909807e-01   8.595534537e-01   2.1e-03  0.06  
13  2.0e-03  2.0e-03  4.2e-04  3.57e-01   6.256612187e-01   6.110790218e-01   1.5e-03  0.06  
14  1.3e-03  1.3e-03  1.4e-04  1.97e+00   1.009514197e+00   1.003079411e+00   1.0e-03  0.06  
15  1.2e-03  1.2e-03  1.4e-04  8.30e-01   6.049672730e-01   5.982744962e-01   9.1e-04  0.06  
16  8.9e-04  7.8e-04  5.3e-05  1.75e+00   1.331179943e+00   1.328193658e+00   6.0e-04  0.06  
17  6.0e-04  5.1e-04  5.1e-05  1.73e-01   2.683090073e-01   2.649900334e-01   3.9e-04  0.06  
18  3.2e-04  2.7e-04  1.4e-05  1.43e+00   1.036325384e+00   1.034968825e+00   2.1e-04  0.06  
19  2.6e-04  1.8e-04  1.3e-05  1.93e-01   1.129406434e+00   1.127945846e+00   1.4e-04  0.06  
20  1.3e-04  9.0e-05  4.5e-06  1.47e+00   1.421892757e+00   1.421332609e+00   7.0e-05  0.08  
21  1.2e-04  7.4e-05  4.0e-06  7.08e-01   1.182335478e+00   1.181835975e+00   5.7e-05  0.08  
22  6.1e-05  3.6e-05  1.4e-06  1.10e+00   1.884085302e+00   1.883879511e+00   2.8e-05  0.08  
23  2.6e-05  1.5e-05  6.8e-07  2.99e-01   1.601604307e+00   1.601535460e+00   1.2e-05  0.08  
24  9.3e-06  5.6e-06  1.9e-07  7.18e-01   2.232636548e+00   2.232634111e+00   4.3e-06  0.09  
25  4.6e-06  2.7e-06  1.3e-07  1.64e-01   2.646547541e+00   2.646636131e+00   2.1e-06  0.09  
26  1.9e-06  1.2e-06  3.8e-08  7.04e-01   3.402539608e+00   3.402589593e+00   9.0e-07  0.09  
27  5.9e-07  3.5e-07  1.0e-08  3.69e-01   3.660071956e+00   3.660123077e+00   2.7e-07  0.09  
28  3.0e-07  1.8e-07  6.6e-09  1.33e-02   4.070543366e+00   4.070643141e+00   1.4e-07  0.11  
29  1.1e-07  6.5e-08  1.9e-09  2.13e-01   4.674362281e+00   4.674434603e+00   5.0e-08  0.11  
30  3.2e-08  1.9e-08  5.2e-10  2.29e-01   5.232326998e+00   5.232391957e+00   1.5e-08  0.11  
31  2.7e-08  1.6e-08  4.7e-10  -8.79e-02  5.319029990e+00   5.319103057e+00   1.2e-08  0.13  
32  2.0e-08  1.2e-08  3.6e-10  -6.16e-02  5.448791022e+00   5.448872115e+00   9.1e-09  0.13  
33  4.7e-09  2.8e-09  8.6e-11  3.50e-03   6.185049588e+00   6.185134828e+00   2.2e-09  0.13  
34  2.4e-09  1.5e-09  4.8e-11  -2.06e-03  6.487911761e+00   6.488008123e+00   1.1e-09  0.13  
35  2.0e-09  1.2e-09  3.8e-11  1.62e-01   6.725895852e+00   6.725988015e+00   9.2e-10  0.14  
36  9.2e-10  5.5e-10  1.6e-11  1.86e-01   7.078145758e+00   7.078224078e+00   4.3e-10  0.14  
37  2.7e-10  1.6e-10  4.5e-12  1.64e-01   7.633069726e+00   7.633143098e+00   1.2e-10  0.16  
38  2.0e-10  1.2e-10  3.7e-12  -9.63e-02  7.800509411e+00   7.800597534e+00   9.2e-11  0.16  
39  4.8e-11  8.3e-11  9.1e-13  -2.47e-02  8.534339615e+00   8.534433194e+00   2.2e-11  0.16  
40  1.4e-11  1.4e-10  2.7e-13  8.56e-02   9.153077568e+00   9.153176601e+00   6.3e-12  0.16  
41  5.8e-12  2.0e-10  1.0e-13  3.61e-01   9.550283791e+00   9.550360912e+00   2.7e-12  0.17  
42  5.1e-12  2.1e-10  9.8e-14  -1.68e-01  9.632699412e+00   9.632794788e+00   2.3e-12  0.17  
43  1.6e-12  2.9e-10  3.3e-14  -1.04e-01  1.021760762e+01   1.021772072e+01   7.3e-13  0.19  
44  9.8e-13  3.3e-10  1.8e-14  3.75e-01   1.054805709e+01   1.054814444e+01   4.5e-13  0.19  
45  3.5e-13  4.1e-10  5.8e-15  2.94e-01   1.091891795e+01   1.091898935e+01   1.6e-13  0.19  
